node_id,node_name,node_kind,inst_name,cell_name,port_name,io_type,is_sequential_cell,is_buffer_cell,is_inverter_cell,is_clock_pin,is_endpoint,x_um,y_um,inst_x_um,inst_y_um,cell_area_um2,port_cap_max_f,port_cap_min_f
267,_430_/ZN,iterm,_430_,AOI211_X2,ZN,OUTPUT,0,0,0,0,0,19.3985,21.572,18.43,21.0,nan,0.0,0.0
268,place218/A,iterm,place218,BUF_X1,A,INPUT,0,1,0,0,0,7.535,20.3875,7.41,19.6,nan,9.746590013071316e-16,8.752499970075052e-16
269,_444_/A1,iterm,_444_,NAND2_X1,A1,INPUT,0,0,0,0,0,8.9975,21.6125,8.55,21.0,nan,1.5990320800793388e-15,1.5291960135232346e-15
270,_431_/ZN,iterm,_431_,XNOR2_X1,ZN,OUTPUT,0,0,0,0,0,8.294,21.783,7.41,21.0,nan,0.0,0.0
271,place217/A,iterm,place217,BUF_X1,A,INPUT,0,1,0,0,0,7.535,25.9875,7.41,25.2,nan,9.746590013071316e-16,8.752499970075052e-16
272,_444_/A2,iterm,_444_,NAND2_X1,A2,INPUT,0,0,0,0,0,8.6725,21.6125,8.55,21.0,nan,1.664198983392822e-15,1.5022779417342034e-15
273,_433_/ZN,iterm,_433_,XNOR2_X1,ZN,OUTPUT,0,0,0,0,0,7.914,27.383,7.03,26.6,nan,0.0,0.0
274,_437_/A2,iterm,_437_,NOR2_X1,A2,INPUT,0,0,0,0,0,6.2025,24.4125,6.08,23.8,nan,1.6513450466600012e-15,1.5638450609009743e-15
275,_434_/ZN,iterm,_434_,NOR2_X1,ZN,OUTPUT,0,0,0,0,0,5.885,24.7065,5.51,23.8,nan,0.0,0.0
276,place216/A,iterm,place216,BUF_X1,A,INPUT,0,1,0,0,0,4.685,23.1875,4.56,22.4,nan,9.746590013071316e-16,8.752499970075052e-16
277,_441_/B2,iterm,_441_,OAI21_X1,B2,INPUT,0,0,0,0,0,7.9125,23.1875,7.79,22.4,nan,1.5718929326910742e-15,1.5583250530628364e-15
278,_440_/A3,iterm,_440_,NOR3_X1,A3,INPUT,0,0,0,0,0,8.6675,23.1875,8.55,22.4,nan,1.6162979996761704e-15,1.5527180125893682e-15
279,_435_/ZN,iterm,_435_,INV_X1,ZN,OUTPUT,0,0,1,0,0,5.4075,23.1,5.13,22.4,nan,0.0,0.0
280,_437_/A1,iterm,_437_,NOR2_X1,A1,INPUT,0,0,0,0,0,6.5275,24.4125,6.08,23.8,nan,1.7144710240870752e-15,1.4130929956848509e-15
281,_436_/ZN,iterm,_436_,AOI21_X1,ZN,OUTPUT,0,0,0,0,0,5.1425,24.2705,4.75,23.8,nan,0.0,0.0
282,_438_/A,iterm,_438_,XNOR2_X1,A,INPUT,0,0,0,0,0,6.8,26.1005,6.27,25.2,nan,2.2327540732486285e-15,2.1258540683821627e-15
283,_437_/ZN,iterm,_437_,NOR2_X1,ZN,OUTPUT,0,0,0,0,0,6.455,24.7065,6.08,23.8,nan,0.0,0.0
284,place215/A,iterm,place215,BUF_X1,A,INPUT,0,1,0,0,0,5.445,25.9875,5.32,25.2,nan,9.746590013071316e-16,8.752499970075052e-16
285,_441_/A,iterm,_441_,OAI21_X1,A,INPUT,0,0,0,0,0,8.4275,23.1875,7.79,22.4,nan,1.6707160548889966e-15,1.518574008606429e-15
286,_440_/A1,iterm,_440_,NOR3_X1,A1,INPUT,0,0,0,0,0,9.0425,23.1875,8.55,22.4,nan,1.7635709829405652e-15,1.4005010038909685e-15
287,_439_/ZN,iterm,_439_,INV_X1,ZN,OUTPUT,0,0,1,0,0,6.1675,25.9,5.89,25.2,nan,0.0,0.0
288,_443_/A,iterm,_443_,AOI21_X1,A,INPUT,0,0,0,0,0,10.3275,23.1875,9.69,22.4,nan,1.6263519631227238e-15,1.5353399670061437e-15
289,_440_/ZN,iterm,_440_,NOR3_X1,ZN,OUTPUT,0,0,0,0,0,9.014,23.3825,8.55,22.4,nan,0.0,0.0
290,_443_/B1,iterm,_443_,AOI21_X1,B1,INPUT,0,0,0,0,0,10.145,23.1875,9.69,22.4,nan,1.6470030498932572e-15,1.4468230123148196e-15
291,_441_/ZN,iterm,_441_,OAI21_X1,ZN,OUTPUT,0,0,0,0,0,8.17,23.0105,7.79,22.4,nan,0.0,0.0
292,_443_/B2,iterm,_443_,AOI21_X1,B2,INPUT,0,0,0,0,0,9.82,23.1875,9.69,22.4,nan,1.6768529144709724e-15,1.4099260453741855e-15
293,_442_/ZN,iterm,_442_,INV_X1,ZN,OUTPUT,0,0,1,0,0,9.5875,23.1,9.31,22.4,nan,0.0,0.0
294,place196/A,iterm,place196,BUF_X2,A,INPUT,0,1,0,0,0,10.405,20.3875,10.26,19.6,nan,1.7792090110918925e-15,1.5893980332163868e-15
295,_443_/ZN,iterm,_443_,AOI21_X1,ZN,OUTPUT,0,0,0,0,0,10.0825,23.329,9.69,22.4,nan,0.0,0.0
296,_462_/C1,iterm,_462_,OAI221_X2,C1,INPUT,0,0,0,0,0,15.6825,17.5875,15.2,16.8,nan,2.996373968714404e-15,2.6966640658226786e-15
